ID,Tournament,Date,Home Team,Home Goals,Away Goals,Away Team,Win Conditions,Home Stadium
4222,AFC Asian Cup,1972-05-17,Thailand,1,1,South Korea,South Korea win on penalties,1
4223,FIFA World Cup qualification,1972-05-18,Belgium,4,0,Iceland,,1
4224,AFC Asian Cup,1972-05-19,Iran,2,1,South Korea,,0
4225,British Championship,1972-05-20,Wales,0,3,England,,1
4226,FIFA World Cup qualification,1972-05-22,Belgium,4,0,Iceland,,1
4227,British Championship,1972-05-23,England,0,1,Northern Ireland,,1
4228,Friendly,1972-05-23,Spain,2,0,Uruguay,,1
4229,British Championship,1972-05-24,Scotland,1,0,Wales,,1
4230,Friendly,1972-05-25,Argentina,0,0,Paraguay,,1
4231,Friendly,1972-05-26,Germany,4,1,Russia,,1
4232,Friendly,1972-05-27,German DR,1,0,Uruguay,,1
4233,British Championship,1972-05-27,Scotland,0,1,England,,1
4234,British Championship,1972-05-27,Wales,0,0,Northern Ireland,,1
4235,Copa Carlos Dittborn,1972-05-31,Chile,3,4,Argentina,,1
4236,Friendly,1972-05-31,German DR,0,0,Uruguay,,1
4237,Friendly,1972-05-31,Sierra Leone,3,1,Ghana,,1
4238,Friendly,1972-05-06,Tunisia,3,1,Algeria,,1
4239,Nordic Championship,1972-07-06,Denmark,3,0,Finland,,1
4240,Brazil Independence Cup,1972-11-06,Ecuador,0,3,Portugal,,0
4241,Brazil Independence Cup,1972-11-06,Iran,1,2,Republic of Ireland,,0
4242,UEFA Euro,1972-06-14,Belgium,1,2,Germany,,1
4243,Brazil Independence Cup,1972-06-14,Chile,2,1,Ecuador,,0
4244,Brazil Independence Cup,1972-06-14,Iran,0,3,Portugal,,0
4245,Friendly,1972-06-14,Norway,0,1,Uruguay,,1
4246,UEFA Euro,1972-06-17,Belgium,2,1,Hungary,,1
4247,FIFA World Cup qualification,1972-06-18,Benin,0,5,Ghana,,0
4248,Brazil Independence Cup,1972-06-18,Chile,1,4,Portugal,,0
4249,Brazil Independence Cup,1972-06-18,Colombia,2,3,France,,0
4250,Brazil Independence Cup,1972-06-18,Ecuador,2,3,Republic of Ireland,,0
4251,UEFA Euro,1972-06-18,Germany,3,0,Russia,,0
4252,Brazil Independence Cup,1972-06-21,Ecuador,1,1,Iran,,0
